X_int_1	Y_int_1	Cond.1[mS/m]	Inph.1[ppt]	X_int_2	Y_int_2	Cond.2[mS/m]	Inph.2[ppt]	X_int_3	Y_int_3	Cond.3[mS/m]	Inph.3[ppt]	Num fich	b et p	Base	Profil
397650.352	5315636.2171	10.31	-0.01	397650.5383	5315636.274	17.58	-0.16	397650.7629	5315636.3425	23.43	-0.11	2	103	0	98
397649.8781	5315636.0247	12.92	-0.02	397650.0623	5315636.0888	20.45	-0.19	397650.2843	5315636.166	24.8	-0.09	2	103	0	98
397649.404	5315635.8598	8.85	-0.06	397649.5882	5315635.9239	18.67	-0.16	397649.8102	5315636.0011	23.75	-0.11	2	103	0	98
397648.9296	5315635.7185	10.29	-0.01	397649.1157	5315635.7763	17.19	-0.14	397649.34	5315635.8461	22.35	-0.08	2	103	0	98
397648.2079	5315635.5439	12.61	-0.03	397648.3959	5315635.5956	19.91	-0.17	397648.6225	5315635.6578	24.19	-0.09	2	103	0	98
397647.4865	5315635.3365	12.22	-0.03	397647.6738	5315635.3906	19.52	-0.18	397647.8995	5315635.4558	23.55	-0.12	2	103	0	98
397646.9841	5315635.175	11.78	-0.02	397647.1707	5315635.2316	18.52	-0.15	397647.3956	5315635.2997	23.15	-0.08	2	103	0	98
397646.4817	5315635.0228	11.7	-0.02	397646.6683	5315635.0794	18.45	-0.19	397646.8932	5315635.1475	23.88	-0.08	2	103	0	98
397645.98	5315634.8511	11.45	-0.02	397646.1649	5315634.9128	18.39	-0.16	397646.3878	5315634.987	22.87	-0.12	2	103	0	98
397645.2432	5315634.5629	11.19	-0.01	397645.4264	5315634.6297	17.38	-0.15	397645.6472	5315634.7101	22.2	-0.08	2	103	0	98
397644.5058	5315634.2911	10.57	-0.02	397644.6888	5315634.3587	17.85	-0.16	397644.9092	5315634.4401	22.84	-0.09	2	103	0	98
397644.035	5315634.1116	11.53	-0.03	397644.2176	5315634.18	18.43	-0.19	397644.4377	5315634.2624	23.31	-0.15	2	103	0	98
397643.564	5315633.9352	13.77	-0.05	397643.7466	5315634.0036	20.09	-0.22	397643.9667	5315634.086	23.87	-0.1	2	103	0	98
397643.0944	5315633.7435	10.95	-0.06	397643.2754	5315633.8158	18.84	-0.18	397643.4936	5315633.903	23.07	-0.11	2	103	0	98
397642.3962	5315633.4309	11.01	-0.03	397642.5757	5315633.5072	17.83	-0.18	397642.7919	5315633.5991	23.12	-0.14	2	103	0	98
397641.6991	5315633.1155	12.9	-0.02	397641.8765	5315633.1963	19.5	-0.19	397642.0903	5315633.2938	23.38	-0.1	2	103	0	98
